"id";"property_type";"host_name";"accommodates";"bedrooms";"description"
77681;Private room in rental unit;Christiane;2;NULL;<b>The space</b><br />Elegant private suite, on its own floor with dressing room and full sized bed, jacuzzi bath, and access to a fabulous private deck. Furnished with antiques and includes a tv-vcr. Tempur-Pedic mattress. Pet friendly!<br /><br />Relaxing Breakfast Nook is a cozy and comfy eating area, it is adjacent to the patio.<br /><br />$20.00 refundable key deposit required.<br /><br /><b>Other things to note</b><br />book only one month in advance.<br /><br /><b>License number</b><br />STR-415924
77691;Private room in home;Hermina;2;NULL;The house is in convenient and safe location. Big Victorian house on two floors. This room is smaller, good size for one person. smaller<br /> All hardwood floors, warm colors.<br />Shopping plaza, restaurants, library around the corner. Ocean is 5 min drive to the nearest Pleasure Bay beach. For runners end of the street is the ocean<br /><br /><b>The space</b><br />Beautiful Victorian house with attached townhouse on the back. <br />Patio and balcony is shared.  <br /> Equipped kitchen for cooking.<br />The house is cleaned and sanitized after each guest<br />Very safe and convenient location<br /><br /><b>Guest access</b><br />Dinning room, kitchen, open balcony on the front<br /><br /><b>During your stay</b><br />In person when I'm home, e-mail, phone, text, whatsAPP. When I travel the info for my help will be provided. <br />A week before your arrival  you will have the digital cod for the main door (no key). Do Not Touch the lock when you are inside please, other people cannot en
163941;Entire condo;Terry;6;2;**Excellent Sunny** Fully equipped Private Duplex Apartment!   Walking distance to Museums, Northeastern U and Hospitals.  1.5 miles to the center of the attractions.  1-2 miles to Fenway Park.  Perfect Boston Home Base!  Accommodates up to 6 guests!<br /><br /><b>The space</b><br />Welcome to the Fort Hill Inn in Boston MA!  One of our most popular units!  This Tastefully decorated, clean, private 2 bedroom Duplex combines combines comfort and value for a perfect stay! <br /><br />Excellent Boston location,  5 minute walk to the Orange Line train, 4 minute ride to the center of all Boston attractions.    3 short stops (1.5 miles) to Copley Plaza/Back Bay/South End, Downtown.  Walk to Museums from here.   <br /><br />Located in the quiet Boston residential neighborhood of Fort Hill, In a nice historic Victorian brick row house, on a quiet private way, we offer the comfort of an Inn-like setting combined with easy access to all the city.<br /><br />Nice 2 bedroom apartment, Comfortable 
184893;Private room in bed and breakfast;Dawn;2;NULL;<b>The space</b><br />Coastline, Conventions and College – oh my! Enjoy the best of Boston at my lovely ! bedroom apartment. This beautiful 1800's Brownstone located on a stunning gas lite street has 1 fully furnished bedroom, 1 full bathroom, gracious parlor, large eat-in kitchen and a very cute  city garden area out back with a gas grill and patio set. Steps from site seeing , restaurants, shops, train stations.  <br /><br />Fully furnished apartment with rates including utilities. It is ideal for graduate students, visiting professors and professionals on long-term or short-term assignments. Close proximity to downtown Boston.  Seven minute walk to the orange Line T station which transports you to down town Boston , Boston Convention Center, countless college campuses, Copley Square, Downtown Boston shopping and cultural sites, MIT and Harvard quickly. Practically door-to-door subway service to and from Logan Airport and South Station (Amtrak).<br />(Parking is avail at the end of t
190170;Entire guest suite;Fanny & Candice;4;2;"<b>The space</b><br />This spacious 2 family is located just on the out skirts of the city with street parking, only minutes from public transportation.<br /><br />Apartment has 2 bedrooms, living space, kitchenette and bath with standing shower (sorry no tub)<br /><br />Bedroom 1, is small and cozy with a full size bed - 54 x 75 inches (137 x 190 cm). Closet is very small, but storage is availble thru two dressers that is provided.<br /><br />Bedroom 2, is cozy with a queen size bed  - 60 x 80 inches (153 x 203 cm), with the not one but two closets. Plenty of space for long stays.<br /><br />Not a Bedroom, but the living space does have a sleeper sofa for that someone that just makes a little extra noise (keeping us awake)<br /><br />Bathroom has the basic; sink, toilet, stand up shower (sorry no tub)<br /><br />Kitchenette provides just enough cooking required if you want to save a few extra coinage.<br /><br />Apartment comes with television and basic cable, also wireless internet c"
197727;Private room in condo;Jill;1;NULL;"Great area of Boston<br />many local restaurants<br />Close to medical area and all transportation<br />lots of nearby green space<br />friendly, warm and great Boston experience<br /><br /><b>The space</b><br />1 bedroom available in 2 bedroom condo on desirable street in Jamaica Plain, 1 cute dog and 1 cat, quiet and close to restaurants , Jamaica pond,arboretum. 15 minute bus ride to downtown, easy access to buses (5 minute walk)and MBTA(10m minute walk) . VERY convenient to  medical areas and Fenway colleges. This is a perfect alternative to the high rents of this area! <br />WIFI internet access, laundry, very friendly and fun household..<br />front and back porches and newly landscaped back yard with dining table. lot's of cool restaurants in this ""hip"" area of Boston.<br />coffee available along with healthy snacks. I am out alot so lot's of privacy too!<br />I have lived here for over 20 years so know ALL the local haunts and tourist spot's!<br />Perfect for a visiting medical "
197972;Entire rental unit;Chris & Kristina;2;1;Our 450 sf 2 room apartment is quiet, private & ideally situated in the heart of Jamaica Plain-just a 4 min. walk to the Orange Line subway and buses. It offers a super comfortable bed, and all the necessities-wifi, 4K smart TV, large eat-in kitchen, Nespresso coffee, and free on-street parking.<br /><br /><b>The space</b><br />Our studio apartment is on the 2nd floor rear of our 1868 Jamaica Plain Victorian home. <br /><br />Ascend your back stairs to your fully private entrance. The studio is filled with windows and drenched in natural light as you sit among the tree tops. There is a wonderful full eat-in-kitchen with stainless appliances, a 3/4 bath (shower, no tub), and original hardwood floors with area rugs. <br /><br />The space is 450 sq. ft and is home to a super comfy bed, a closet, and all the necessary furnishings... including a full kitchen with dishwasher, Nespresso coffee maker and toaster... and offers a private but spacious and open feeling. You will be completely priv
210097;Entire home;Maria Elena;2;NULL;Our space is unique in that it's completely private, affordable, quiet, clean, and with all the amenities you would find in a regular home.  It is also not fancy, but homey.  Think of a place you would find in a relative's home. We have just redone the deck and it's lovelier than ever.      We provide natural fiber linens and towels but no feathers or other allergen.    Pets  or service animals are not allowed.    The neighborhood is quiet and safe.<br /><br /><b>The space</b><br />Tranquil oasis in popular Boston neighborhood of Jamaica Plain.  Very private one room studio, with private entrance, kitchenette  and bathroom.  Private deck overlooking trees and backyard gardens. Full bed with bedside table and reading lamp.  Internet and cable TV.  Two short blocks to subway stop for direct and fast access to New England Medical Center, Mass. General Hospital, downtown Boston, Cambridge, South Station, North Station and the Airport.   Five minutes to No. 39 Bus which takes you to Longwoo
220676;Private room in townhouse;Howard;3;1;The North End is Boston's Little Italy.  You'll find tons of restaurants, bakeries and boutique clothing stores.   My house is one block from the harbor and one block from the freedom trail.  There is also a public pool two blocks away open during the summer.  There are public parks and playgrounds within a block of the house as well.  In late July and August, there is a feast to a different saint almost every weekend.<br /><br />STR454055<br /><br /><b>The space</b><br />Just steps from the Freedom Trail and Old North Church and a block from Boston Harbor, the location of this century-old single family can't be beat.  A few minutes walk to the green and orange lines and downtown Boston.  The room includes a full sized bed to accommodate 2 people, air conditioning, exposed brick walls, a triple-paned window, a built in wardrobe and a massage chair.  The bed has a heated mattress pad and down bedding (down-alternative available on request).  Everything has been recently updated in 2017 
257588;Entire rental unit;Meri;4;2;Winter of 2024 Monthly Rates:<br />January $4,700<br />February $4,700 <br />March $5,000<br /><br /><b>The space</b><br />1400 sq. ft. townhouse style penthouse that boasts ALL the amenities that you could be looking for.  Open chef's kitchen with gleaming white marble countertops, all stainless interactive refrigerator, built in microwave/oven combination, 5 burner gas range with pot filler, dishwasher, 50 bottle dual zone wine fridge, deep set sink with garbage disposal, marble island that seats 4 with stools, flat screen wall mounted T.V. so the host can catch all the action as well... perfect for all your Emeril needs.  The kitchen opens through French doors onto a 15 by 20 foot porch that is equipped with an island size grille.<br />     Inside, the open floor plan allows for a spacious place to gather with a white sectional couch that exudes luxury and comfort at the same time while accommodating to perhaps chat, fireside in front of the marble inlayed pottery barn style gas fir
297994;Entire home;Albert;4;2;Entire place in a cozy colonial-style 2-bedroom single-family home in South Boston.<br /><br />Just re-listed on Airbnb, after an 8-year hiatus! Previously only listed one room, but now the entire place is listed.<br /><br />NOTE: the most common question I get is the distance to the Boston Convention and Exhibition Center (BCEC) in the Seaport where conferences are held. It is exactly 1 mile away, 21 minutes if walking, less if taking cab!<br /><br />FUN: locations from 2 scenes in Good Will Hunting within 1-2 blocks away<br /><br /><b>The space</b><br />The entire place is yours during your stay in this cozy colonial-style 2-bedroom single-family home in South Boston. It's in a very convenient location, just a few minutes walk from the Broadway stop on the Red Line, and about a 20 minute walk to South Station and the Boston Seaport.<br /><br />This place is especially ideal for you if you're in Boston for a conference or convention, as the Boston Convention & Exhibition Center is ver
377474;Private room in home;Hermina;1;NULL;The house is big, Beautiful Victorian house. It is one of historical houses in the area, built in 1948. Clean, Comfortable and Colorful interior, nice hardwood floors, there is all you need to feel at home.<br />4 min to walk to Field's Corner stop on Red line subway and within minutes you are in Downtown. Uber & lift service makes the commute very affordable  when you are two or more people.<br /><br /><b>The space</b><br />Cozy bedoom for one person.  It has a single bed, small desk, nightstand, closet. Full bath on the second floor, half bath on the first floor. Kitchen, dining & living rooms on the first floor. Open balcony.<br /><br /><b>Guest access</b><br />Dining room,  kitchen, patio on the back, open balcony in the front<br /><br /><b>During your stay</b><br />E-mail, phone, text, viber, <br />Call please for emerngeny<br /><br /><b>Other things to note</b><br />Dorchester is a historical part of Boston. Take advantage of being in Dorchester and check the history. My house is
447826;Private room in home;Hilary;2;NULL;Our tiny guest room, often a favorite in a house of cool rooms, feels much like a tree house or ship's berth with a full sized bed. Our antique house in hip JP has a modern kitchen, shared bath and is a quick ride to downtown, the Longwood Medical Area, or walk to Angell Memorial.<br /><br />**All guests must be fully vaccinated and boosted for Covid 19 with the most up to date vaccine variants ***<br /><br /><b>The space</b><br />We have one tiny room available for guests in our sweet little house.  Our guest room, often a favorite in a house of cool rooms, feels much like a tree house or ship's berth. The full sized bed takes up almost the whole room, but that’s what tree-house-ish rooms are like.<br />Our petite c.1890 house is settled in lovely Jamaica Plain, MA. Lovingly renovated and filled with art you will find it welcoming and comfortable.  Built for the mistress of the mansion owner across the street, our house is small, straight forward, and simple, with very fancy period ra
496022;Private room in home;Maria;2;NULL;The house is in close proximity to two public transit stations and a major bus line. Our home is located in the Jamaica Plain neighborhood of the city. Jamaica Plain is a vibrant, young community with a lot to offer, and its a quick train or car ride into the center of the city. <br /><br />We can provide a futon for additional sleeping accommodations if necessary.<br /><br /><b>The space</b><br />This handsome 100 year-old single-family house with 10+ foot ceilings, stained glass windows, fireplace and modern furnishings has two spotless bedrooms available. Beautifully landscaped backyard with fire pit and vegetable garden is a great place to relax at the end of the day.<br /><br />Large sunny room on third floor with private bath.  Comfy queen bed, large closet, armoire, clean linens and towels, wifi and work table <br /><br />On a beautiful street in the most coveted section of the hip Jamaica Plain (JP) neighborhood of Boston, we’re just 5 miles from the city center and only blocks
507525;Entire rental unit;Guy;2;1;"Amazing, sunny 1 bedroom in the heart of Boston. Perfect for a single person or a couple. This charming, large apartment features tall ceilings, a fully equipped kitchen, a brand new bathroom and brand new hardwood flooring. There's access to a washer/dryer in the building, as well as a spectacular roof deck. Ideally located on a beautiful tree-lined and quiet residential in Bay Village; well situation on the MBTA Green, Red, Orange and Silver lines.<br /><br /><b>The space</b><br />Amazing, sunny 1-bedroom apartment centrally located in Bay Village in Downtown Boston, MA. (Bay Village is right in between Beacon Hill, Downtown, South End and Back Bay). <br /><br />It's perfect for one person, or a couple. <br /><br />6 months minimum starting Nov 15 or Dec 1, 2020 through Spring 2021<br /><br />Living room: sofa that opens into a queen bed, piano + piano bench, desk, office chair<br />Fully-equipped kitchen: island, dish-washer, stove, oven<br />Large bedroom: queen bed, large closet<b"
530983;Entire home;Lance;9;5;Super Clean  - Hospital Grade Sanitation Performed  -  Minimum of 5 days between occupancies! <br /> <br />Our elegant four+ bedroom Victorian Era home with tons of light has a true neighborhood feel! It comfortably fits a large family and is centrally located just a few blocks from Savin Hill. Enjoy a short walk to the Redline of the Subway and zip into downtown! <br /> <br />** This rental requires a minimum booking of 30 nights. Regardless of nights physically occupied, no bookings for less than 30 nights will be accepted. Please contact us for other options in the Greater Boston Area. **<br /><br /><b>The space</b><br />Savin Hill - Convention Center - JFK Library! <br /> <br />This wonderful house has been redone with a sophisticated quality renovation. It is located on Jones Hill in the Savin Hill neighborhood of Dorchester, walkable to Savin Hill and the Red Line of the subway. Jones Hill is one of our fine Dorchester Victorian subway neighborhoods where you will find grand hous
533152;Entire rental unit;Lance;5;2;Hospital Grade Sanitation Performed!  - Minimum of 5 days between occupancies - Safe and Sanitized Space! <br /> <br />Due to COVID-19, we’re taking extreme care to disinfect frequently touched surfaces between reservations.  We use CDC approved products to ensure surfaces are safe and maintain vacancy between our disinfection level cleaning and your check-in. <br /> <br />Our comfortable two-bedroom apartment with tons of light has a true neighborhood feel! It comfortably fits five and is centrally located just a few blocks from Upham's Corner. Enjoy a short walk to the Redline of the Subway and zip into downtown! <br /> <br />** This rental requires a minimum booking of 29 nights. Regardless of nights physically occupied, no bookings for less than 29 nights will be accepted. Please contact us for other options in the Greater Boston Area. **<br /><br /><b>The space</b><br />South End - Kennedy Library - Castle Beach <br /> <br />The Penthouse is a fourth floor, fully furnished 1200sf 
561769;Entire rental unit;Lance;6;3;Super Clean  - Hospital Grade Sanitation Performed  -  Minimum of 5 days between occupancies! <br /> <br />Our comfortable three-bedroom apartment with tons of light has a true neighborhood feel! It comfortably fits a larger group and is centrally located just a few blocks from Savin Hill T Station. Enjoy a short walk to the Redline of the Subway and zip into downtown!<br /><br /><b>The space</b><br />Kennedy Library - Umass Boston - Unbelievable View! <br /> <br />The Sky View high atop Jones Hill in Boston has panoramic views with an additional living area/extra bedroom on the second floor, while the rest of the unit is magnificently presented on the third floor. Two large bedrooms with Queen Beds, a wonderful marble bath, and an open floor plan LR/DR/KIT. There is even a full-size Washer and Dryer in a separate laundry room in the bathroom. Separate, private entrance for this home and available (add'l charge) off-street parking for 1 car. If you would love to live in Boston while vi
579605;Entire rental unit;Lance;5;2;NEW for May 2022!  Full-size Washer AND Dryer inside the unit!  Incredible convenience and comfort. <br /> <br />Our comfortable two-bedroom apartment with tons of light has a true neighborhood feel! It comfortably fits four and is centrally located just a few blocks from Upham's Corner. Enjoy a short walk to the Redline of the Subway and zip into downtown! <br /> <br />** This rental requires a minimum booking of 30 nights. Regardless of nights physically occupied, no bookings for less than 30 nights will be accepted. Please contact us for other options in the Greater Boston Area. **<br /><br /><b>The space</b><br />NEW for 2022!  Full-size Washer AND Dryer inside the unit!  Incredible convenience and comfort. <br /> <br />The Mayhew is a third floor, fully furnished 1200sf luxury apartment centrally located in Boston near the historic South End. Part of a meticulous building restoration, the Mayhew combines characteristic turn-of-the-century Boston area architecture with modern day a
583255;Entire rental unit;Valery;2;1;<b>The space</b><br />A very spacious, 700 sq ft, one bedroom, loft-type apartment a block away from B line, 5 min walk to C line, 7 min to D line, between Cleveland Circle and Washington Square.  You are in the heart of Boston in 20 min. Great restaurants in the neighborhood. A full-size bed in the bedroom and a sleeper couch in living room.  Gleaming hardwood floors. Outdoor patio for a beautiful sunny breakfast in the summer.
601763;Entire rental unit;Lance;5;3;Our comfy three-bedroom apartment has tons of light, situated in a leafy Boston neighborhood! It comfortably fits six and is conveniently located next to Brookline and Newton. Enjoy a short walk to the Train or Bus,  zip into downtown! And street parking is incredibly easy here!  No meters, no parking restrictions and no parking limits.  Take a look at the pictures to see what parking is always like! <br /> <br />** Monthly stays only.  Please contact us for other options in the Greater Boston Area**<br /><br /><b>The space</b><br />West Roxbury – Family Friendly Neighborhood – Walk to Shops & Restaurants <br /> <br />Our Alameda 2 property features a vintage 1920’s floor plan and tall ceilings. The unit offers 3 bedrooms and an additional study for your comfort. The Alameda 2 hosts a large living room, dining room and renovated eat in granite/stainless kitchen. The Alameda 2 is located just a short walk from Starbucks, Roche Brothers grocery store, and Bertucci’s Pizza.  <br /> <br />
611081;Boat;Deborah;6;1;Staying on the houseboat is a unique and  very fun way to visit Boston.<br />Many of my guests say they love visiting the city sights but can not wait to come home to the Blue Pearl and the relaxation that happens when you stay on the water.  Walk to area attractions. Spend a busy day sightseeing in the city and return each evening to the peacefulness of being on the water. Sip a cocktail on one of two decks and watch the boats in the harbor.  Be rocked to sleep each night.  Parking $25 per night.<br /><br /><b>The space</b><br />If you are planning a visit to Boston or a Bostonian needing a getaway close to home consider staying on our houseboat 'The Blue Pearl'. Located in the Charlestown Marina. Within walking distance of many attractions including USS Constitution, Freedom Trail, Bunker hill and the North End .  Our houseboat is fully furnished with well equipped kitchen, full size refrigerator, cooktop,microwave, Keurig coffee maker and K cups. Master bedroom has a queen size bed 
